"大学名","本部所在地","都道府県","市区町村","設立年","種別"
"愛知教育大学","愛知県刈谷市井ケ谷町広沢1 ","愛知県","刈谷市",1949,"国立・大学"
"会津大学","福島県会津若松市一箕町大字鶴賀字上居合90 ","福島県","会津若松市",1993,"公立・大学"
"会津大学短期大学部","福島県会津若松市一箕町大字八幡字門田1-1 ","福島県","会津若松市",1951,"公立・短期大学"
"青森県立保健大学","青森県青森市大字浜館字間瀬58-1 ","青森県","青森市",1999,"公立・大学"
"青森公立大学","青森県青森市大字合子沢字山崎153-4 ","青森県","青森市",1993,"公立・大学"
"秋田県立大学","秋田県秋田市下新城中野字街道端西241-438 ","秋田県","秋田市",1999,"公立・大学"
"秋田公立美術大学","秋田県秋田市新屋大川町12番3号 ","秋田県","秋田市",2013,"公立・大学"
"秋田大学","秋田県秋田市手形学園町1-1 ","秋田県","秋田市",1949,"国立・大学"
"旭川医科大学","北海道旭川市緑が丘東2条1丁目1番1号 ","北海道","旭川市",1973,"国立・大学"
"石川県立看護大学","石川県かほく市 ","石川県","かほく市",2000,"公立・大学"
"石川県立大学","石川県野々市市末松1丁目308番地 ","石川県","野々市市",2004,"公立・大学"
"茨城県立医療大学","茨城県稲敷郡阿見町阿見4669番地2 ","茨城県","稲敷郡阿見町",1994,"公立・大学"
"茨城大学","茨城県水戸市 ","茨城県","水戸市",1949,"国立・大学"
"岩手県立大学","岩手県滝沢市巣子152-52 ","岩手県","滝沢市",1998,"公立・大学"
"岩手県立大学宮古短期大学部","岩手県宮古市河南1丁目5番1号 ","岩手県","宮古市",1990,"公立・短期大学"
"岩手県立大学盛岡短期大学部","岩手県滝沢市巣子152-52 ","岩手県","滝沢市",1951,"公立・短期大学"
"岩手大学","岩手県盛岡市 ","岩手県","盛岡市",1949,"国立・大学"
"宇都宮大学","栃木県宇都宮市峰町350 ","栃木県","宇都宮市",1949,"国立・大学"
"叡啓大学","広島県広島市 ","広島県","広島市",2021,"公立・大学"
"愛媛県立医療技術大学","愛媛県伊予郡砥部町高尾田543 ","愛媛県","伊予郡砥部町",2004,"公立・大学"
"愛媛大学","愛媛県松山市道後樋又10番13号 ","愛媛県","松山市",1949,"国立・大学"
"大分県立看護科学大学","大分県大分市 ","大分県","大分市",1998,"公立・大学"
